// Grasscutter 3.3.54 GM Handbook
// Created 2023/01/24 10:05:08


// Commands
       account : 创建或删除账号
      announce : 向所有在线玩家发送公告，或者管理服务器的公告
         clear : 从你的背包中删除所有未装备且已解锁的物品，包括稀有物品
          coop : 强制传送指定玩家到他人的世界。如果没有指定玩家，则会使你进入多人游戏状态
         daily : This value does not exist. Please report this to the Discord: commands.daily.description
          enka : 🇺🇸Copy your character data from official server to private server using Enka.Network service (data taken only from Showcase)
 enter_dungeon : 进入指定秘境
        entity : This value does not exist. Please report this to the Discord: commands.entity.description
         equip : 🇺🇸You can replace current character weapon with a weapon that cannot be used by current character due to different types of weapons.
          give : 向你或指定的玩家给予物品。比如可以给予全部武器，角色和/或材料，也可以给予自定义圣遗物
          heal : 治疗当前队伍的角色
          help : 发送帮助信息或显示指定命令的信息
       killall : 杀死所有怪物
      language : 显示或切换当前语言
          list : 查看所有玩家
    permission : 添加或移除指定玩家的权限
      position : 获取所在位置和旋转信息
         quest : 添加或完成任务
        reload : 重载配置文件和数据
        remote : 🇺🇸Use this to access commands from web
    resetConst : 重置当前角色的命之座，执行命令后需重新登录以生效
resetShopLimit : 重置指定玩家的商店刷新时间
      sendMail : 向指定用户发送邮件。此命令的用法会根据撰写阶段而改变
   sendMessage : 向玩家以服务器的身份发送消息。如果没有指定目标，则向服务器的全部玩家发送
      setConst : 为当前活跃角色设置命座等级
setFetterLevel : 设置当前角色的好感度等级
       setProp : 设置账号的状态。比如可以通过此命令启用 godmode，也可以解锁深渊或更改纪行等级
                    可更改的状态列表：godmode(上帝模式)|nostamina(无限体力)|unlimitedenergy(无限能量)|abyss(深渊)|worldlevel(世界等级)|bplevel(纪行等级)
                    查看 PlayerProperty enum 以获得其他数值，格式为 PROP_MAX_SPRING_VOLUME -> max_spring_volume
      setStats : 设置当前角色的属性
                    可更改的属性列表：hp(生命值)|maxhp(最大生命值)|def(防御力)|atk(攻击力)|em(元素精通)|er(元素充能效率)|crate(暴击率)|cdmg(暴击伤害)|cdr(冷却缩减)|heal(治疗加成)|heali(受治疗加成)|shield(护盾强效)|defi(无视防御)
                    元素增伤：epyro(火)|ecryo(冰)|ehydro(水)|egeo(岩)|edendro(草)|eelectro(雷)|ephys(物理)
                    元素抗性：respyro(火)|rescryo(冰)|reshydro(水)|resgeo(岩)|resdendro(草)|reselectro(雷)|resphys(物理)
         spawn : 在你附近生成实体
          stop : 停止服务器
        talent : 设置当前角色的天赋等级
          team : 手动修改你的队伍
      teleport : 改变指定玩家的位置
   teleportAll : 将你世界中的所有玩家传送到你所在的位置
       weather : 更改天气ID和气候类型。
                    天气ID可以在 ./Resources/ExcelBinOutput/WeatherExcelConfigData.json 中找到。
                    气候类型：sunny(晴天), cloudy(多云), rain(雨), thunderstorm(雷雨), snow(雪), mist(雾)


// Gadgets
 40000001 : SteamBangField - [N/A] 2462299317
 40000002 : ThunderFistField - [N/A] 2514862605
 40000003 : GrassDart - [N/A] 1451983429
 40000004 : SharkTorpedo - [N/A] 3969973101
 40000005 : SharkTorpedo_Spurt - [N/A] 2124246485
 40000006 : SharkTorpedo_Spurt_2 - [N/A] 1860700733
 40000007 : CreationLimit_Dummy - [N/A] 1108994533
 40000104 : FrostSpear - [N/A] 257460421
 40000115 : IceSpine_Old - [N/A] 3958668077
 40000116 : IceSpine_Old - [N/A] 2224127421
 40000117 : IceSpine_Old - [N/A] 4213367709
 40000118 : Kevin_RockImpact - [N/A] 1630880053
 40000119 : ModifiedTrigger - [N/A] 2469527653
 40000120 : RockImpactTrap - [N/A] 3689462541
 40000121 : IceSpine_Strike - [N/A] 1972455613
 40000129 : IceSpell_Wards_Trap - [N/A] 911167901
 40000148 : ClawMark_Mark - [N/A] 2094125989
 40000154 : ClawMark_Mark_Lycan - [N/A] 4107466085
 40000160 : AimingArrow_WithoutFire - [N/A] 3909865925
 40000161 : Double_ArrowAiming_WithoutFire - [N/A] 1738440549
 40000172 : Frost_Orb - [N/A] 207969669
 40000173 : Frost_Orb_Bullet - [N/A] 549351861
 40000174 : JumpDrug_Whitbox_01 - [N/A] 40626637
 40000175 : JumpDrug_Whitbox_02 - [N/A] 3161315957
 40000176 : JumpDrug_Whitbox_03 - [N/A] 1621644901
 40000177 : JumpDrug_Whitbox_04 - [N/A] 851441181
 40000178 : EmptyGadget - [N/A] 2220069189
 40000179 : AmborFlyBullet - [N/A] 2361616293
 40010000 : Weapon_Test_Bullet - [N/A] 507118333
 40010001 : Weapon_Arcane_Arrow - [N/A] 2338898605
 40010002 : Weapon_AttackWave - [N/A] 2743839749
 40010003 : Weapon_WindBall - [N/A] 4248289813
 40010004 : Weapon_Arcane_Bullet - [N/A] 2910401461
 40010005 : Weapon_BouncingBall - [N/A] 3440521261
 40010006 : Weapon_PiercingLight - [N/A] 188970029
 40010007 : Weapon_SkySword - [N/A] 3518036053
 40010008 : Weapon_Bullet_Yang - [N/A] 2239148445
 40010009 : Weapon_Bullet_Yin - [N/A] 1776519925
 40010010 : Weapon_Lanternrite_Bright - [N/A] 2353756749
 40010011 : Weapon_Lanternrite_Dark - [N/A] 4157062861
 40010012 : Weapon_Dvalin_Wave - [N/A] 2045924981
 40010013 : Weapon_Claymore_Dragonfell_Bullet - [N/A] 1035990413
 40010014 : Weapon_Pole_Dragonfell_Bullet - [N/A] 4120233589
 40010015 : Weapon_Catalyst_Dragonfell_Bullet - [N/A] 1466778581
 40010016 : Weapon_Sword_Youtou_Bullet1 - [N/A] 3740702781
 40010017 : Weapon_Sword_Youtou_Bullet2 - [N/A] 2685041645
